messages_sent,num_periods,depth,avg_children,num_leaves,type,num_nodes
12.82258064516129,6,23,1.8818181818181818,138,0,248
12.666666666666666,5,25,1.8448275862068966,136,0,252
12.76171875,5,41,1.8141592920353982,143,0,256
8.75,4,2,1.5,2,1,4
8.875,4,3,2.3333333333333335,5,1,8
9.333333333333334,4,3,3.0,9,1,12
9.6875,4,4,2.1666666666666665,10,1,16
9.6,4,4,2.6666666666666665,14,1,20
9.791666666666666,5,4,3.0,17,1,24
9.392857142857142,4,8,2.7777777777777777,19,1,28
9.53125,4,7,2.3076923076923075,19,1,32
9.444444444444445,4,7,2.8181818181818183,25,1,36
9.575,4,9,2.5714285714285716,26,1,40
9.613636363636363,4,9,2.3333333333333335,26,1,44
10.104166666666666,5,10,2.588235294117647,31,1,48
9.673076923076923,4,8,2.473684210526316,33,1,52
9.910714285714286,5,10,2.4285714285714284,35,1,56
10.05,5,15,2.789473684210526,41,1,60
9.921875,5,12,2.608695652173913,41,1,64
10.088235294117647,5,12,2.4074074074074074,41,1,68
10.01388888888889,5,13,2.4074074074074074,45,1,72
11.644736842105264,5,16,2.909090909090909,54,1,76
9.9875,5,9,2.5172413793103448,51,1,80
11.630952380952381,5,13,2.5,54,1,84
11.625,5,13,2.5483870967741935,57,1,88
10.728260869565217,5,11,2.7586206896551726,63,1,92
11.510416666666666,5,11,2.9,66,1,96
10.15,5,19,2.5945945945945947,63,1,100
10.778846153846153,5,18,2.5,68,1,104
11.657407407407407,5,11,2.260869565217391,62,1,108
10.482142857142858,5,12,2.475,72,1,112
10.844827586206897,5,11,2.4761904761904763,74,1,116
10.95,5,16,2.466666666666667,75,1,120
11.78225806451613,5,15,2.658536585365854,83,1,124
10.953125,5,17,2.6511627906976742,85,1,128
11.742424242424242,5,11,2.688888888888889,87,1,132
11.463235294117647,5,18,2.388888888888889,82,1,136
11.392857142857142,5,22,2.6041666666666665,92,1,140
11.770833333333334,5,14,2.66,94,1,144
11.08108108108108,5,23,2.576923076923077,96,1,148
10.763157894736842,5,20,2.607843137254902,101,1,152
11.961538461538462,5,17,2.6923076923076925,104,1,156
10.975,5,25,2.542372881355932,101,1,160
11.817073170731707,5,24,2.4761904761904763,101,1,164
11.80952380952381,5,17,2.811320754716981,115,1,168
11.924418604651162,5,18,2.5737704918032787,111,1,172
11.869318181818182,5,19,2.546875,112,1,176
15.327777777777778,7,20,2.4,110,1,180
11.75,5,17,2.626865671641791,117,1,184
11.872340425531915,5,31,2.621212121212121,122,1,188
11.958333333333334,5,32,2.4246575342465753,119,1,192
12.0,5,24,2.550724637681159,127,1,196
11.855,5,20,2.7313432835820897,133,1,200
11.946078431372548,5,22,2.4430379746835444,125,1,204
11.89423076923077,5,24,2.6027397260273974,135,1,208
11.95754716981132,5,32,2.4936708860759493,133,1,212
11.939814814814815,5,15,2.5921052631578947,140,1,216
11.918181818181818,5,19,2.569620253164557,141,1,220
11.897321428571429,5,19,2.5875,144,1,224
11.991228070175438,5,25,2.4651162790697674,142,1,228
11.922413793103448,5,21,2.4886363636363638,144,1,232
12.029661016949152,5,26,2.5058823529411764,151,1,236
12.091666666666667,6,21,2.522727272727273,152,1,240
11.942622950819672,5,20,2.586206896551724,157,1,244
11.963709677419354,5,19,2.5444444444444443,158,1,248
12.063492063492063,5,18,2.4623655913978495,159,1,252
11.890625,5,28,2.6333333333333333,166,1,256
8.0,4,1,3.0,3,2,4
8.5,4,2,3.5,6,2,8
8.666666666666666,4,2,5.0,10,2,12
8.75,4,4,3.75,12,2,16
8.8,4,3,3.8,15,2,20
8.833333333333334,4,5,4.4,19,2,24
8.714285714285714,4,5,4.5,22,2,28
8.875,4,6,3.875,24,2,32
8.88888888888889,4,4,3.888888888888889,27,2,36
8.9,4,6,3.9,30,2,40
8.909090909090908,4,6,4.2,34,2,44
9.25,5,9,4.181818181818182,37,2,48
9.307692307692308,5,6,4.166666666666667,40,2,52
9.714285714285714,5,7,4.153846153846154,43,2,56
9.4,5,7,4.142857142857143,46,2,60
10.09375,5,10,4.2,49,2,64
9.235294117647058,5,8,3.9411764705882355,51,2,68
9.305555555555555,5,10,4.375,56,2,72
9.657894736842104,5,10,4.294117647058823,59,2,76
10.65,5,9,3.95,60,2,80
9.69047619047619,5,9,3.9523809523809526,63,2,84
9.715909090909092,5,10,4.3,68,2,88
9.630434782608695,5,9,4.238095238095238,71,2,92
9.677083333333334,5,9,4.086956521739131,73,2,96
9.5,5,8,4.409090909090909,78,2,100
9.663461538461538,5,11,4.08,79,2,104
9.731481481481481,5,9,3.962962962962963,81,2,108
10.732142857142858,5,10,4.074074074074074,85,2,112
10.758620689655173,5,11,4.625,92,2,116
10.733333333333333,5,11,4.214285714285714,92,2,120
9.959677419354838,5,15,4.066666666666666,94,2,124
9.828125,5,12,4.84,103,2,128
10.409090909090908,5,13,4.225806451612903,101,2,132
13.095588235294118,7,13,4.258064516129032,105,2,136
10.792857142857143,5,11,4.25,108,2,140
10.277777777777779,5,11,4.147058823529412,110,2,144
10.81081081081081,5,17,4.083333333333333,112,2,148
10.881578947368421,5,14,4.323529411764706,118,2,152
10.878205128205128,5,14,4.222222222222222,120,2,156
10.45625,5,7,4.131578947368421,122,2,160
10.823170731707316,5,13,4.2631578947368425,126,2,164
10.976190476190476,5,13,4.048780487804878,127,2,168
10.912790697674419,5,11,3.9767441860465116,129,2,172
10.931818181818182,5,13,4.119047619047619,134,2,176
11.116666666666667,5,15,4.190476190476191,138,2,180
11.016304347826088,5,17,4.285714285714286,142,2,184
10.98936170212766,5,13,4.065217391304348,142,2,188
10.984375,5,21,4.2,147,2,192
11.010204081632653,5,19,4.266666666666667,151,2,196
11.025,5,11,4.260869565217392,154,2,200
11.014705882352942,5,21,4.122448979591836,155,2,204
11.024038461538462,5,13,4.25,160,2,208
